Question,Answer,Explanation,Steps,Digit,Grade
কোন ক্ষুদ্রতম সংখ্যাকে ১৮ ২৪ ও ৩৬ দিয়ে ভাগ করলে প্রতিক্ষেত্রে ৩ যোগ করলে যোগফল ১৮ ২৪ ও ৩৬ দ্বারা বিভাজ্য হবে,69,১৮ ২৪ ও ৩৬ এর ল.সা.গু. ৭২ থেকে ৩ বিয়োগ করলে ৬৯ হয়।,৪,২,six
কোন বৃহত্তম সংখ্যা দ্বারা ৯ এবং ১১ কে ভাগ করলে প্রতিক্ষেত্রে ১ অবশিষ্ট থাকে,2,(৯-১)=৮ এবং (১১-১)=১০ এর গ.সা.গু. হলো ২।,২,৩,six
ভাজক ভাগফলের ৫ গুণ এবং ভাজক ১২ ১/২ হলে ভাজ্য কত,৩১ ১/৪,ভাজক ২৫/২ এবং ভাগফল (২৫/২)÷৫ = ৫/২। ভাজ্য = (২৫/২)×(৫/২) = ১২৫/৪ = ৩১ ১/৪।,২,৪,six
পূর্ণ সংখ্যা কাকে বলে,শূন্যসহ সকল ধনাত্মক ও ঋণাত্মক অখন্ড সংখ্যাকে পূর্ণ সংখ্যা বলে,যেমন -৩ ০ ৫ ইত্যাদি,১,-,six
স্বাভাবিক সংখ্যা কোনগুলো,১ ২ ৩ ৪ ইত্যাদি ধনাত্মক অখন্ড সংখ্যাগুলোকে স্বাভাবিক সংখ্যা বলে,এগুলো গণনাকারী সংখ্যা।,১,-,six
পাটিগণিতে মোট কয়টি অঙ্ক প্রতীক আছে,১০টি,০ ১ ২ ৩ ৪ ৫ ৬ ৭ ৮ এবং ৯ এই দশটি প্রতীক রয়েছে।,১,-,six
পাঁচ অঙ্কের বৃহত্তম সংখ্যা ও ক্ষুদ্রতম সংখ্যার পার্থক্য কত,89999,পাঁচ অঙ্কের বৃহত্তম সংখ্যা ৯৯৯৯৯ এবং ক্ষুদ্রতম সংখ্যা ১০০০০। তাদের পার্থক্য ৮৯৯৯৯।,১,৫,six
দুই অঙ্কের বৃহত্তম মৌলিক সংখ্যা কোনটি,97,৯৭ হলো দুই অঙ্কের সবচেয়ে বড় সংখ্যা যার ১ ও ৯৭ ছাড়া অন্য কোনো গুণনীয়ক নেই,১,২,six
একমাত্র জোড় মৌলিক সংখ্যা কোনটি,2,২ হলো একমাত্র জোড় সংখ্যা যা শুধুমাত্র ১ এবং ২ দ্বারা বিভাজ্য,১,১,six
১ কি মৌলিক না যৌগিক সংখ্যা,১ মৌলিক বা যৌগিক কোনোটিই নয়,কারণ মৌলিক সংখ্যার দুইটি এবং যৌগিক সংখ্যার দুইয়ের অধিক গুণনীয়ক থাকে কিন্তু ১ এর গুণনীয়ক মাত্র একটি,১,-,six
কোনো সংখ্যার গুণিতক কি সসীম না অসীম,অসীম,যেকোনো সংখ্যার গুণিতকের কোনো শেষ নেই,১,-,six
ভগ্নাংশের লব ও হরকে কী বলা হয়,ভগ্নাংশের পদ,লব ও হর উভয়কেই একত্রে ভগ্নাংশের পদ বলা হয়,১,-,six
০.১২৫ কে সাধারণ ভগ্নাংশে প্রকাশ কর,১/৮,০.১২৫ সমান ১২৫/১০০০ যা লঘিষ্ঠ করলে ১/৮ হয়।,১,৩,six
০.৮৭৫ কে সাধারণ ভগ্নাংশে প্রকাশ কর,৭/৮,০.৮৭৫ সমান ৮৭৫/১০০০ যা লঘিষ্ঠ করলে ৭/৮ হয়,১,৩,six
২/৩ ৪/৫ ও ৮/১৫ এর ল.সা.গু. কত,৮/১=৮,লব ২ ৪ ৮ এর ল.সা.গু. ৮ এবং হর ৩ ৫ ১৫ এর গ.সা.গু. ১,২,২,six
১/২ ১/৩ ও ১/৪ এর গ.সা.গু. কত,১/১২,লব ১ ১ ১ এর গ.সা.গু. ১ এবং হর ২ ৩ ৪ এর ল.সা.গু. ১২,২,১,six
৩.৫ ও ২.৫ এর ল.সা.গু. কত,17.5,৩.৫ ও ২.৫ কে ৩৫/১০ ও ২৫/১০ ধরে ল.সা.গু. করলে ১৭৫/১০ বা ১৭.৫ হয়।,২,১,six
একটি সংখ্যার অর্ধেক থেকে তার এক-তৃতীয়াংশ বিয়োগ করলে ৬ থাকে। সংখ্যাটি কত,36,ধরি সংখ্যাটি x। (x/2)-(x/3)=6 বা x/6=6 বা x=36,৩,১,six
এক কুইন্টাল সমান কত কেজি,১০০ কেজি,এটি একটি পরিমাপের একক।,১,-,six
১ ইঞ্চিতে কত সেন্টিমিটার,২.৫৪ সেন্টিমিটার,এটি ইঞ্চি ও সেন্টিমিটারের মধ্যে প্রতিষ্ঠিত সম্পর্ক।,১,-,six
অনুপাত কী,দুইটি সমজাতীয় রাশির একটি অপরটির তুলনায় কতগুণ বা কত অংশ তা একটি ভগ্নাংশ দিয়ে প্রকাশ করা যায় এবং এই ভগ্নাংশটিই রাশি দুইটির অনুপাত,রাশি দুইটি সমজাতীয় হওয়ায় অনুপাতের কোনো একক থাকে না,১,-,six
সমতুল অনুপাত কাকে বলে,কোনো অনুপাতের পূর্ব ও উত্তর রাশিকে শূন্য ছাড়া কোনো সংখ্যা দিয়ে গুণ বা ভাগ করলে মানের কোনো পরিবর্তন হয় না তাকে সমতুল অনুপাত বলে,যেমন ২:৫ এবং ৪:১০ হলো সমতুল অনুপাত,১,-,six
সরল অনুপাত কী,অনুপাতে দুইটি রাশি থাকলে তাকে সরল অনুপাত বলে,এর একটি পূর্ব রাশি ও একটি উত্তর রাশি থাকে,১,-,six
লঘু অনুপাত কাকে বলে,সরল অনুপাতের পূর্ব রাশি উত্তর রাশি অপেক্ষা ছোট হলে তাকে লঘু অনুপাত বলে,যেমন ৩:৫ একটি লঘু অনুপাত,১,-,six
গুরু অনুপাত কাকে বলে,কোনো সরল অনুপাতের পূর্বরাশি উত্তর রাশি অপেক্ষা বড় হলে তাকে গুরু অনুপাত বলে,যেমন ৫:৩ একটি গুরু অনুপাত,১,-,six
একক অনুপাত কী,যে সরল অনুপাতের পূর্ব রাশি ও উত্তর রাশি সমান সে অনুপাতকে একক অনুপাত বলে,যেমন ১৫:১৫ বা ১:১,১,-,six
ব্যস্ত অনুপাত কী,সরল অনুপাতের পূর্ব রাশিকে উত্তর রাশি এবং উত্তর রাশিকে পূর্ব রাশি করে প্রাপ্ত অনুপাতকে ব্যস্ত অনুপাত বলে,যেমন ১৩:৫ এর ব্যস্ত অনুপাত ৫:১৩,১,-,six
মিশ্র অনুপাত কী,একাধিক সরল অনুপাতের পূর্ব রাশিগুলোর গুণফলকে পূর্ব রাশি এবং উত্তর রাশিগুলোর গুণফলকে উত্তর রাশি ধরে প্রাপ্ত অনুপাতকে মিশ্র অনুপাত বলে,যেমন ২:৩ ও ৫:৭ এর মিশ্র অনুপাত ১০:২১,১,-,six
২৫ ও ৩৫ এর অনুপাত কত,৫:৭,২৫:৩৫ অনুপাতের উভয় রাশিকে ৫ দ্বারা ভাগ করে ৫:৭ পাওয়া যায়,২,২,six
১ বছর ২ মাস ও ৭ মাসের অনুপাত কত,২:১,১ বছর ২ মাস সমান ১৪ মাস। সুতরাং ১৪:৭ অনুপাতকে সরল করে ২:১ পাওয়া যায়,২,১,six
৭ কেজি ও ২ কেজি ৩০০ গ্রামের অনুপাত কত,৭০:২৩,৭ কেজি সমান ৭০০০ গ্রাম এবং ২ কেজি ৩০০ গ্রাম সমান ২৩০০ গ্রাম। ৭০০০:২৩০০ কে সরল করে ৭০:২৩ হয়,২,১,six
২ টাকা ও ৪০ পয়সার অনুপাত কত,৫:১,২ টাকা সমান ২০০ পয়সা। সুতরাং ২০০:৪০ অনুপাতকে সরল করে ৫:১ পাওয়া যায়,২,১,six
৯:১২ অনুপাতকে সরলীকরণ কর,৩:৪,উভয় রাশিকে তাদের সাধারণ গুণনীয়ক ৩ দ্বারা ভাগ করে ৩:৪ পাওয়া যায়,১,২,six
১৫:২১ অনুপাতকে সরলীকরণ কর,৫:৭,উভয় রাশিকে তাদের সাধারণ গুণনীয়ক ৩ দ্বারা ভাগ করে ৫:৭ পাওয়া যায়,১,২,six
৪৫:৩৬ অনুপাতকে সরলীকরণ কর,৫:৪,উভয় রাশিকে তাদের সাধারণ গুণনীয়ক ৯ দ্বারা ভাগ করে ৫:৪ পাওয়া যায়,১,২,six
২:৩ = ৮: ? খালিঘরে কোন সংখ্যা বসবে,12,২/৩ = ৮/খালিঘর। আরগুণন করে ২×খালিঘর = ২৪ বা খালিঘর = ১২,১,১,six
৫:৬ = ?:৩৬ খালিঘরে কোন সংখ্যা বসবে,30,৫/৬ = খালিঘর/৩৬। আরগুণন করে ৬×খালিঘর = ১৮০ বা খালিঘর = ৩০,১,২,six
৩:৫ ৫:৭ এবং ৭:৯ এর মিশ্র অনুপাত কত,১:৩,পূর্ব রাশিগুলোর গুণফল ৩×৫×৭=১০৫ এবং উত্তর রাশিগুলোর গুণফল ৫×৭×৯=৩১৫। ১০৫:৩১৫ কে সরল করলে ১:৩ হয়,২,২,six
